date,received,sent,allDayReceived,allDaySent
 2016-3-25,136,158,10-0-0-0-0-0-0-0-0-0-0-0-6-26-0-0-2-0-0-2-0-0-0,8-0-0-0-0-0-0-0-0-0-0-0-2-26-0-2-4-2-0-0-0-0-0
 2016-3-26,178,190,0-0-0-0-0-0-0-0-2-0-0-2-0-2-86-52-6-0-2-0-0-26-0,2-0-2-0-0-0-0-0-0-0-4-0-2-8-74-50-4-0-0-0-2-40-0
 2016-3-27,184,286,0-0-0-0-0-0-0-0-0-0-26-0-0-26-14-0-0-22-0-0-0-54-0,0-0-0-0-0-0-0-0-0-0-48-0-0-44-28-0-0-34-0-0-0-68-0
 2016-3-28,204,342,0-0-0-0-0-0-0-0-0-0-12-16-40-48-0-2-2-4-34-0-10-18-0,0-0-0-0-0-0-0-0-0-0-14-20-44-62-0-0-0-4-30-0-108-36-0
 2016-3-29,156,362,0-0-0-0-0-0-0-0-0-0-0-36-0-0-0-0-0-0-20-4-4-42-0,0-0-0-0-0-0-0-0-0-0-0-62-0-0-0-0-0-0-26-4-0-76-0
 2016-3-30,26,16,0-0-0-0-0-0-0-0-0-0-0-0-4-2-0-0-0-10-0-0-0-6-0,0-0-0-0-0-0-0-0-0-0-0-6-8-0-2-0-0-0-0-0-0-0-0
 2016-3-31,140,178,0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-14-6-116-0,0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0-0-0-0-14-0-156-0
 2016-4-1,106,132,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-20-6-0-4-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-34-8-0-0-0-0
 2016-4-2,42,88,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0-0-24-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-0-14-0-0-66-0
 2016-4-3,8,6,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-4-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0
 2016-4-4,80,108,0-0-0-0-0-0-0-0-0-0-16-2-0-0-20-0-0-0-0-22-0-6-0,0-0-0-0-0-0-0-0-0-6-22-2-0-0-24-0-0-0-0-20-0-14-0
 2016-4-5,188,246,0-0-0-0-0-0-0-0-0-0-0-0-32-72-14-0-0-18-2-4-2-38-0,0-0-0-0-0-0-0-0-0-0-0-0-60-86-18-0-0-26-0-0-0-22-0
 2016-4-6,886,772,14-0-0-0-0-0-0-0-0-0-6-32-2-0-8-40-0-168-24-28-36-70-0,8-0-0-0-0-0-0-0-0-0-8-38-4-0-12-70-0-182-24-30-30-72-0
 2016-4-7,182,198,6-0-0-0-0-0-0-0-0-0-6-0-2-112-6-0-0-4-8-0-0-0-0,4-0-0-0-0-0-0-0-0-0-8-2-0-108-2-0-0-18-8-0-0-6-0
 2016-4-8,118,160,0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-2-0-0-14-52-34-8-0,0-0-0-0-0-0-0-0-0-0-0-0-0-2-14-0-10-0-26-60-46-2-0
 2016-4-9,168,176,0-0-0-0-0-0-0-0-0-16-0-42-4-0-0-2-0-0-0-14-0-0-0,6-0-0-0-0-0-0-0-0-6-0-56-8-0-0-0-0-0-0-12-0-0-0
 2016-4-10,36,38,0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-20-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14-0
 2016-4-11,44,40,0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-2-10-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-14-0
 2016-4-12,114,120,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-22-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-28-0
 2016-4-13,54,62,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0,2-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0
 2016-4-14,78,118,0-0-2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-22-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-44-0
 2016-4-15,98,172,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-34-52-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-28-12-28-2-0-0-38-64-0
 2016-4-16,40,48,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-36-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-42-0-0-0-0
 2016-4-17,72,80,16-4-0-0-0-0-0-0-0-0-6-0-0-0-0-40-0-0-6-0-0-0-0,32-0-0-0-0-0-0-0-0-0-8-0-0-0-0-40-0-0-0-0-0-0-0
 2016-4-18,32,42,0-0-0-0-0-0-0-0-0-0-0-0-8-2-0-0-0-0-0-0-0-6-0,0-0-0-0-0-0-0-0-0-0-0-0-6-0-0-4-0-0-0-0-0-18-0
 2016-4-19,108,114,0-0-0-0-0-0-0-0-0-0-0-0-0-0-54-0-0-0-14-0-0-0-0,0-0-0-0-0-0-0-0-0-0-0-0-0-0-52-0-0-0-8-0-0-0-0
 2016-4-20,12,20,0-0-0-0-0-0-0-4-2-0-6-0-0-0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-4-2-0-14-0-0-0-0-0-0-0-0-0-0-0-0
